Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
"2022-01-28 15:11:24,1"," 1,74", ,"79,90", ," 0,35", ," 0,58", ,"79,94", ," 0,32", ,"-3,18", ,"79,94", ," 0,22", ," 2,60", ,"80,01", ," 0,36", ,"14,72", ,"-60,45",a,"54,53",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,38", ," 0,87", ,"79,97", ," 0,36", ,"-3,18", ,"79,94", ," 0,23", ," 0,87", ,"79,97", ," 0,40", ,"14,76", ,"-61,32",a,"53,52",a,"-5,03",a," 0,00", 
"2022-01-28 15:16:24,2"," 1,74", ,"79,90", ," 0,35", ," 0,58", ,"79,94", ," 0,32", ,"-3,18", ,"79,94", ," 0,21", ," 2,60", ,"80,01", ," 0,36", ,"14,76", ,"-60,45",a,"54,56",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,38", ," 0,87", ,"79,97", ," 0,35", ,"-2,89", ,"79,94", ," 0,23", ," 0,87", ,"79,97", ," 0,40", ,"14,76", ,"-56,69",a,"53,38",a,"-4,08",a," 0,00", 
"2022-01-28 15:21:24,9"," 1,74", ,"79,94", ," 0,34", ," 0,58", ,"79,97", ," 0,32", ,"-3,18", ,"79,94", ," 0,20", ," 2,60", ,"80,01", ," 0,36", ,"14,76", ,"-65,08",a,"55,47",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,37", ," 0,87", ,"79,97", ," 0,35", ,"-2,89", ,"79,94", ," 0,22", ," 0,87", ,"79,97", ," 0,40", ,"14,74", ,"-61,61",a,"53,55",a,"-5,03",a," 0,00", 
"2022-01-28 15:26:25,5"," 0,00", ," 0,03",A,"-41,53",A,"-76,94",A," 0,00",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,00",A,"-35,61",A," 0,00",A," 0,00", ," 0,00",a," 0,01", ," 0,00", ," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,00",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,78",A," 0,00",A,"-43,63",A," 0,00",A," 0,00", ," 0,03",a,"-5,03",a," 0,00", 
"2022-01-28 15:31:25,8"," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,00",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,00",A,"-35,61",A," 0,00",A," 0,00", ," 0,00",a,"-5,03",a," 0,00", ," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,03",A,"-43,63",A," 0,00", ," 0,03",A,"-46,59",A,"-322,78",A," 0,03",A,"-43,63",A," 0,00",A,"-0,29", ," 0,07",a," 0,00", ," 0,00", 
"2022-01-28 15:36:26,2"," 1,74", ,"79,97", ," 0,34", ," 0,58", ,"79,94", ," 0,31", ,"-2,89", ,"79,94", ," 0,20", ," 2,31", ,"79,97", ," 0,36", ,"14,78", ," 0,00", ,"79,77", ," 0,01", ," 0,00", ," 1,74", ,"79,94", ," 0,37", ," 0,87", ,"79,97", ," 0,35", ,"-3,18", ,"79,94", ," 0,21", ," 0,87", ,"79,97", ," 0,40", ,"14,72", ,"-24,01",a,"66,04", ,"-3,51",a," 0,00", 
"2022-01-28 15:41:26,9"," 1,74", ,"79,94", ," 0,34", ," 0,58", ,"79,94", ," 0,32", ,"-2,89", ,"79,90", ," 0,20", ," 2,60", ,"80,01", ," 0,36", ,"14,74", ," 0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,02", ,"79,97", ," 0,37", ," 1,16", ,"79,97", ," 0,35", ,"-2,89", ,"79,94", ," 0,22", ," 0,87", ,"79,97", ," 0,39", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", 
"2022-01-28 15:46:26,9"," 1,74", ,"79,97", ," 0,34", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,19", ," 2,31", ,"79,97", ," 0,36", ,"14,74", ," 0,00", ,"79,80", ," 0,00", ," 0,00", ," 2,02", ,"79,97", ," 0,37", ," 0,87", ,"79,97", ," 0,35", ,"-2,89", ,"79,94", ," 0,21", ," 0,87", ,"79,97", ," 0,39", ,"14,76", ," 0,58", ,"76,87", ,"-1,03", ," 0,00", 
"2022-01-28 15:51:27,6"," 1,74", ,"79,94", ," 0,34", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,90", ," 0,19", ," 2,31", ,"79,97", ," 0,36", ,"14,72", ,"-11,57", ,"77,64", ," 0,00", ," 0,00", ," 1,74", ,"79,97", ," 0,37", ," 1,16", ,"80,01", ," 0,35", ,"-2,89", ,"79,94", ," 0,20", ," 0,87", ,"79,97", ," 0,39", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", 
"2022-01-28 15:56:28,3"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,94", ," 0,31", ,"-2,89", ,"79,94", ," 0,19", ," 2,31", ,"80,01", ," 0,36", ,"14,76", ,"-56,11",a,"54,66",a,"-4,49",a," 0,00", ," 1,74", ,"79,97", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-2,89", ,"79,94", ," 0,20", ," 0,87", ,"79,97", ," 0,39", ,"14,76", ,"-10,12", ,"75,62", ," 0,00", ," 0,00", 
"2022-01-28 16:01:28,4"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-3,18", ,"79,94", ," 0,18", ," 2,60", ,"79,97", ," 0,36", ,"14,74", ,"-42,23",a,"67,66", ," 0,01", ," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,94", ," 0,20", ," 0,87", ,"79,97", ," 0,39", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
"2022-01-28 16:06:29,0"," 1,74", ,"79,90", ," 0,33", ," 0,58", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,17", ," 2,31", ,"79,97", ," 0,36", ,"14,74", ,"-60,45",a,"54,63",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,97", ," 0,19", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-40,20",a,"62,76",a,"-0,40", ," 0,00", 
"2022-01-28 16:11:29,1"," 1,74", ,"79,90", ," 0,33", ," 0,58", ,"79,97", ," 0,31", ,"-3,18", ,"79,94", ," 0,17", ," 2,31", ,"80,01", ," 0,35", ,"14,74", ,"-61,32",a,"57,23",a,"-2,01", ," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,94", ," 0,19", ," 0,58", ,"79,94", ," 0,39", ,"14,78", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
"2022-01-28 16:16:29,5"," 1,74", ,"79,94", ," 0,33", ," 0,58", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,17", ," 2,31", ,"79,97", ," 0,35", ,"14,74", ,"-9,26", ,"77,21", ,"-1,03", ," 0,00", ," 1,74", ,"79,94", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-2,89", ,"79,94", ," 0,19", ," 0,58", ,"79,97", ," 0,39", ,"14,72", ,"-59,58",a,"53,89",a,"-5,03",a," 0,00", 
"2022-01-28 16:21:29,3"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,17", ," 2,31", ,"79,97", ," 0,35", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 1,74", ,"79,97", ," 0,36", ," 1,16", ,"80,01", ," 0,34", ,"-2,89", ,"79,94", ," 0,19", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ," 0,00", ,"79,84", ," 0,00", ," 0,00", 
"2022-01-28 16:26:29,4"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,97", ," 0,17", ," 2,31", ,"80,01", ," 0,35", ,"14,74", ," 0,00", ,"79,80", ," 0,00", ," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,94", ," 0,18", ," 0,58", ,"79,94", ," 0,39", ,"14,74", ,"-6,65", ,"70,25", ,"-2,80", ," 0,00", 
"2022-01-28 16:31:29,7"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,02", ,"79,97", ," 0,35", ,"14,74", ,"-60,16",a,"54,73",a,"-5,03",a," 0,00", ," 2,02", ,"79,94", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,94", ," 0,18", ," 0,58", ,"79,94", ," 0,39", ,"14,72", ,"-58,14",a,"54,97",a,"-2,63", ," 0,00", 
"2022-01-28 16:36:29,8"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,02", ,"79,97", ," 0,35", ,"14,72", ,"-60,45",a,"54,73",a,"-4,92",a," 0,00", ," 1,74", ,"79,97", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,97", ," 0,18", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-19,96", ,"73,29", ," 0,01", ," 0,00", 
"2022-01-28 16:41:29,9"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,60", ,"79,97", ," 0,16", ," 2,31", ,"80,01", ," 0,35", ,"14,74", ,"-37,02",a,"64,15",a,"-0,16", ," 0,00", ," 1,74", ,"79,97", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,94", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ," 0,29", ,"79,84", ," 0,01", ," 0,00", 
"2022-01-28 16:46:30,3"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,31", ,"79,97", ," 0,35", ,"14,72", ,"-30,66",a,"68,40", ,"-3,15",a," 0,00", ," 2,02", ,"79,94", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,60", ,"79,97", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-61,32",a,"53,72",a,"-5,03",a," 0,00", 
"2022-01-28 16:51:30,4"," 0,29", ," 0,03",a,"-39,90",a,"-76,94",a," 0,03",a,"-39,90",a," 0,00", ," 0,00",a,"-39,90",a,"-322,78",a," 0,00",a,"-35,61",a," 0,00",a,"-0,29", ," 0,03",a,"-5,03",a," 0,00", ," 0,00", ," 0,03",a,"-39,90",a,"-76,94",a," 0,03",a,"-43,63",a," 0,00", ," 0,03",a,"-46,59",a,"-322,78",a," 0,03",a,"-43,63",a," 0,00",a," 0,00", ," 0,03",a,"-5,03",a," 0,00", 
"2022-01-28 16:56:31,0"," 0,29", ," 0,03",A,"-39,90",A,"-77,22",A," 0,00",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,03",A,"-35,61",A," 0,00",A,"-0,29", ," 0,07",a,"-0,77", ," 0,00", ," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,03",A,"-43,63",A," 0,29", ," 0,03",A,"-46,59",A,"-322,78",A," 0,03",A,"-43,63",A," 0,00",A," 0,00", ," 0,07",a,"-5,03",a," 0,00", 
"2022-01-28 17:01:31,4"," 1,74", ,"79,90", ," 0,32", ," 0,58", ,"79,94", ," 0,30", ,"-2,89", ,"79,94", ," 0,15", ," 2,31", ,"79,97", ," 0,36", ,"14,74", ,"-60,16",a,"54,66",a,"-5,03",a," 0,00", ," 1,74", ,"79,97", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,94", ," 0,16", ," 0,87", ,"79,97", ," 0,39", ,"14,74", ,"-13,88", ,"72,78", ," 0,01", ," 0,00", 
"2022-01-28 17:06:32,0"," 1,74", ,"79,90", ," 0,34", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,02", ,"80,01", ," 0,36", ,"14,74", ,"-60,16",a,"54,66",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,37", ," 0,87", ,"80,01", ," 0,35", ,"-2,60", ,"79,97", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-61,32",a,"53,65",a,"-5,03",a," 0,00", 
"2022-01-28 17:11:32,1"," 1,74", ,"79,90", ," 0,34", ," 0,58", ,"79,94", ," 0,32", ,"-2,89", ,"79,94", ," 0,16", ," 2,02", ,"79,97", ," 0,36", ,"14,76", ,"-60,16",a,"54,70",a,"-5,03",a," 0,00", ," 2,02", ,"79,97", ," 0,37", ," 0,87", ,"80,01", ," 0,35", ,"-2,89", ,"79,94", ," 0,17", ," 0,58", ,"79,94", ," 0,39", ,"14,76", ,"-54,09",a,"60,91",a,"-0,90", ," 0,00", 
"2022-01-28 17:16:32,5"," 1,74", ,"79,94", ," 0,34", ," 0,58", ,"79,94", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,02", ,"80,01", ," 0,36", ,"14,72", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 1,74", ,"79,94", ," 0,36", ," 0,87", ,"79,97", ," 0,35", ,"-2,60", ,"79,94", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-13,30", ,"73,32", ,"-2,16", ," 0,00", 
"2022-01-28 17:21:32,9"," 1,74", ,"79,94", ," 0,34", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,15", ," 2,02", ,"79,97", ," 0,36", ,"14,74", ,"-60,16",a,"54,73",a,"-5,03",a," 0,00", ," 2,02", ,"79,94", ," 0,36", ," 0,87", ,"80,01", ," 0,35", ,"-2,89", ,"79,97", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ,"-67,39",a,"54,36",a,"-3,32",a," 0,00", 
"2022-01-28 17:26:33,5"," 2,02", ,"79,94", ," 0,33", ," 0,58", ,"79,97", ," 0,31", ,"-3,18", ,"79,94", ," 0,16", ," 2,02", ,"79,97", ," 0,36", ,"14,76", ,"-49,75",a,"55,17",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,97", ," 0,17", ," 0,87", ,"80,01", ," 0,39", ,"14,74", ,"-61,32",a,"53,69",a,"-5,03",a," 0,00", 
"2022-01-28 17:31:33,9"," 2,02", ,"79,97", ," 0,33", ," 0,58", ,"79,97", ," 0,31", ,"-3,18", ,"79,94", ," 0,16", ," 2,02", ,"79,97", ," 0,36", ,"14,74", ,"-15,33", ,"73,43", ," 0,01", ," 0,00", ," 1,74", ,"79,97", ," 0,36", ," 1,16", ,"79,94", ," 0,34", ,"-2,89", ,"79,94", ," 0,17", ," 0,58", ,"80,01", ," 0,39", ,"14,76", ," 0,29", ,"79,84", ," 0,01", ," 0,00", 
"2022-01-28 17:36:34,0"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,31", ,"80,01", ," 0,35", ,"14,74", ," 0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-2,89", ,"79,94", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
"2022-01-28 17:41:33,8"," 2,02", ,"79,94", ," 0,33", ," 0,87", ,"80,01", ," 0,31", ,"-2,89", ,"79,97", ," 0,15", ," 2,02", ,"79,97", ," 0,36", ,"14,74", ,"-51,77",a,"55,17",a,"-2,97",a," 0,00", ," 1,74", ,"79,97", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,94", ," 0,16", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ,"-2,60", ,"78,52", ," 0,01", ," 0,00", 
"2022-01-28 17:46:34,5"," 2,02", ,"79,94", ," 0,33", ," 0,87", ,"80,01", ," 0,31", ,"-2,89", ,"79,97", ," 0,15", ," 2,02", ,"79,97", ," 0,36", ,"14,74", ,"-60,45",a,"54,73",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-2,89", ,"79,97", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-60,45",a,"54,09",a,"-3,69",a," 0,00", 
"2022-01-28 17:51:34,3"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,97", ," 0,14", ," 2,02", ,"80,01", ," 0,36", ,"14,74", ,"-58,71",a,"61,99",a,"-5,03",a," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,94", ," 0,16", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-61,32",a,"53,72",a,"-5,03",a," 0,00", 
"2022-01-28 17:56:34,9"," 2,02", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-3,18", ,"79,94", ," 0,15", ," 2,02", ,"80,01", ," 0,36", ,"14,74", ," 0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,97", ," 0,16", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-42,81",a,"63,10",a,"-4,27",a," 0,00", 
"2022-01-28 18:01:35,3"," 2,02", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,97", ," 0,14", ," 2,02", ,"80,01", ," 0,36", ,"14,74", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 1,16", ,"80,04", ," 0,34", ,"-2,89", ,"79,97", ," 0,16", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ,"-65,37",a,"57,90",a,"-1,43", ," 0,00", 
"2022-01-28 18:06:35,4"," 2,02", ,"79,90", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,31", ,"80,01", ," 0,36", ,"14,74", ,"-59,00",a,"55,07",a,"-3,32",a," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-2,89", ,"79,97", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ,"-0,87", ,"77,88", ," 0,01", ," 0,00", 
"2022-01-28 18:11:35,5"," 2,60", ,"79,97", ," 0,34", ," 0,87", ,"79,97", ," 0,32", ,"-2,89", ,"79,94", ," 0,16", ," 1,74", ,"79,97", ," 0,38", ,"14,74", ,"-10,41", ,"72,24", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,37", ," 1,16", ,"80,01", ," 0,35", ,"-2,89", ,"79,94", ," 0,17", ," 0,29", ,"79,97", ," 0,41", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
